[2016-03-17 07:49:22] my_logger.INFO: Something Interesting Happening Here!!! [] []
[2016-03-17 07:50:23] foodtrip_log.INFO: Something Interesting Happening Here!!! [] []
[2016-03-17 07:50:50] foodtrip_log.INFO: Something Interesting Happening Here!!! [] []
[2016-03-17 10:01:39] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:39] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:39] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:01:39] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:39] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:39] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:01:39] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:39] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:39] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:01:39] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:39] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:39] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:01:49] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:49] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:49] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:01:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:01:52] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:01:52] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:02:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:02:13] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:02:13] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:03:27] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:03:27] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:03:27] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:03:39] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:03:39] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:03:39] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:07:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:07:22] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-03-17 10:07:22] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-03-17 10:50:51] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:51:16] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:52:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:52:28] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:54:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:06] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:16] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:43] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:53] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:55:56] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:56:44] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:56:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:57:04] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:57:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:57:32] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:57:55] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:58:43] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:59:10] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 10:59:16] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 11:00:05] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 11:00:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 11:00:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-03-17 11:00:34] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:11:18] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:11:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:12:19] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:12:19] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:12:19] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-19 11:12:19] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-19 11:12:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:12:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:12:23] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-19 11:12:23] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-19 11:18:25] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 11:18:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 12:09:53] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 12:10:29] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 12:10:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 12:11:04] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 12:11:26] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 16:58:45] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:00:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:00:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:01:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:41:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:41:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:01] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:10] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:10] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:10] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-19 17:42:10] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-19 17:42:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-19 17:42:15] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-19 17:42:15] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-20 01:28:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-20 01:28:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-20 01:28:58] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-20 01:28:58] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-21 16:33:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-21 16:33:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-21 16:33:23] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-21 16:33:23] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-23 02:06:57] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 02:06:57] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 02:06:57] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-23 02:06:57] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-23 05:14:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:18:40] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:18:42] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:18:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:19:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:19:29] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:19:42] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:09] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:22] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-23 05:20:22] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-23 05:20:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:20:36] foodtrip_log.ERROR: This is an ERROR Log [] []
[2016-04-23 05:20:36] foodtrip_log.WARNING: This is a WARNING log!!! [] []
[2016-04-23 05:20:54] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:21:44] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:22:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:23:26] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:23:41] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:24:11] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:33:05] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:34:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 05:35:41] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:38:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:42:22] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:43:00] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:43:47] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:44:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:44:25] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:45:51] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:46:34] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:46:35] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:46:41] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:46:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:47:02] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:47:09] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:47:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:47:38] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-23 11:48:01] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:15:51] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:29:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:29:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:30:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:31:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:31:37] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:33:55] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:34:07] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:34:26] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 04:34:42] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 05:46:16] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:47:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:51:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:52:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:53:27] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:54:49] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:56:28] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:57:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:57:46] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:58:53] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 06:59:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 07:00:04] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 07:00:27] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:56:44] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:56:56] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:57:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:57:54] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:58:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 10:58:30] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:00:26] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:00:46] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:00:54] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:02:06] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:03:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:03:38] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:07:56] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-24 11:08:31] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:08:09] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:09:03] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:09:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:19:28] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:19:44] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:20:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:21:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:21:37] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:49:51] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:50:41] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:51:51] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:52:11] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:52:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:52:42] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:53:00] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:53:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:54:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:56:05] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:56:38] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:56:43] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:57:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:57:12] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:57:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:57:57] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:58:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:58:17] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:59:04] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 16:59:09] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:35:46] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:37:00] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:37:44] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:37:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:56:53] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:59:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-26 23:59:49] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 00:00:00] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 00:00:11] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 00:00:18] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 00:00:27] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:01:33] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:05:46] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:05:56] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:06:13] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:06:26] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:06:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:07:17] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:07:31] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:09:49] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:10:01] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:10:14] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:11:12] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:11:40] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:12:54] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:14:33] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:16:19] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:16:28] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:16:34] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:18:12] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:18:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:18:28] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:18:59] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:19:19] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:19:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:19:24] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:19:38] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:19:52] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:20:12] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:21:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:21:38] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:21:57] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:22:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:22:17] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:22:27] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:22:29] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:22:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:23:08] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:23:36] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:24:06] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:24:11] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:24:19] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:24:21] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:24:45] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:26:04] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:27:58] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:28:10] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:28:20] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:28:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:28:48] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:29:06] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:29:15] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:29:23] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:56:46] foodtrip_log.INFO: This is an INFO Log [] []
[2016-04-27 15:59:18] foodtrip_log.INFO: This is an INFO Log [] []
